MANIFEST_NO,SHIP_DT,SUPP_CD,ITEM,QTY,UOM,AMT
M-2025-0301,12-JAN-25,SUP-014,WIDGET-A1,800,EA,9600.00
M-2025-0312,28-FEB-25,SUP-007,GASKET-B2,2400,EA,7200.00
M-2025-0344,15-APR-25,SUP-014,WIDGET-A1,1500,EA,18000.00
M-2025-0367,02-MAY-25,SUP-022,BEARING-C3,650,EA,29250.00
M-2025-0398,21-JUN-25,SUP-039,FILTER-D4,3200,EA,14400.00
M-2025-0421,07-JUL-25,SUP-039,WIDGET-A1,1200,EA,14400.00
M-2025-0438,14-JUL-25,SUP-007,GASKET-B2,1800,EA,5400.00
M-2025-0454,02-AUG-25,SUP-022,BEARING-C3,420,EA,18900.00
M-2025-0471,18-AUG-25,SUP-014,WIDGET-A1,2100,EA,25200.00
M-2025-0489,03-SEP-25,SUP-039,FILTER-D4,2750,EA,12375.00
M-2025-0502,11-SEP-25,SUP-007,GASKET-B2,3300,EA,9900.00
M-2025-0517,24-SEP-25,SUP-022,BEARING-C3,560,EA,25200.00
M-2025-0531,02-OCT-25,SUP-014,WIDGET-A1,900,EA,10800.00
M-2025-0548,19-OCT-25,SUP-039,FILTER-D4,4100,EA,18450.00
M-2025-0561,15-NOV-25,SUP-022,BEARING-C3,710,EA,31950.00
